Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
Mercedes-Benz,Mercedes-Benz MINIVAN 3.5L,MINIVAN,3.5,6,AV,X,15.0,9.6,13.2,21,308
Porsche,Porsche STATION 3.5L,STATION WAGON - SMALL,3.5,6,A8,X,14.4,6.6,11.8,24,277
Volkswagen,Volkswagen MID-SIZE 2.4L,MID-SIZE,2.4,4,AS8,Z,11.6,4.7,9.3,30,222
Nissan,Nissan VAN 3.6L,VAN - PASSENGER,3.6,6,AM7,Z,14.4,9.0,12.6,22,303
Chevrolet,Chevrolet SUV 2.7L,SUV - STANDARD,2.7,6,A8,E,17.5,7.6,14.2,20,240
Chevrolet,Chevrolet SUV 5.0L,SUV - STANDARD,5.0,8,AM7,X,18.9,10.2,16.0,18,371
Ford,Ford TWO-SEATER 2.5L,TWO-SEATER,2.5,4,M6,E,14.4,10.5,13.1,22,211
Dodge,Dodge SUV 3.5L,SUV - SMALL,3.5,6,AS8,Z,14.4,8.1,12.3,23,288
Nissan,Nissan FULL-SIZE 3.0L,FULL-SIZE,3.0,6,A8,X,13.1,7.4,11.2,25,267
Volkswagen,Volkswagen SUBCOMPACT 3.6L,SUBCOMPACT,3.6,6,A8,X,16.2,10.2,14.2,20,332
Ford,Ford SUV 2.7L,SUV - STANDARD,2.7,6,AV,D,10.0,7.0,9.0,31,243
Ram,Ram SUV 6.2L,SUV - STANDARD,6.2,8,AS6,X,20.8,12.7,18.1,16,425
GMC,GMC PICKUP 2.7L,PICKUP TRUCK - STANDARD,2.7,6,AS6,X,12.4,7.6,10.8,26,258
Chevrolet,Chevrolet SUV 3.3L,SUV - STANDARD,3.3,6,A8,X,15.2,6.2,12.2,23,286
Chevrolet,Chevrolet MINICOMPACT 3.0L,MINICOMPACT,3.0,6,A6,E,18.2,7.7,14.7,19,246
Chevrolet,Chevrolet SUV 5.0L,SUV - STANDARD,5.0,8,A6,E,26.3,13.7,22.1,13,373
BMW,BMW STATION 3.0L,STATION WAGON - SMALL,3.0,6,A9,Z,14.5,7.0,12.0,24,277
Toyota,Toyota VAN 3.5L,VAN - PASSENGER,3.5,6,M6,X,14.5,6.7,11.9,24,278
Mercedes-Benz,Mercedes-Benz COMPACT 3.5L,COMPACT,3.5,6,AV,X,14.9,5.9,11.9,24,283
BMW,BMW PICKUP 4.0L,PICKUP TRUCK - SMALL,4.0,8,M5,Z,16.5,9.6,14.2,20,332
Nissan,Nissan SUV 1.5L,SUV - SMALL,1.5,4,M5,E,12.1,7.3,10.5,27,180
Ford,Ford VAN 2.4L,VAN - PASSENGER,2.4,4,AS6,X,12.4,8.8,11.2,25,265
BMW,BMW MID-SIZE 1.8L,MID-SIZE,1.8,4,AS8,Z,9.5,5.0,8.0,35,186
BMW,BMW MINIVAN 3.0L,MINIVAN,3.0,6,A8,X,13.9,9.4,12.4,23,295
Toyota,Toyota SUV 3.6L,SUV - STANDARD,3.6,6,A6,E,19.2,10.5,16.3,17,275
Hyundai,Hyundai SUBCOMPACT 2.5L,SUBCOMPACT,2.5,4,A9,X,11.8,6.7,10.1,28,236
Chevrolet,Chevrolet SUV 2.7L,SUV - STANDARD,2.7,6,AS6,X,12.9,8.1,11.3,25,265
Toyota,Toyota SUBCOMPACT 2.5L,SUBCOMPACT,2.5,4,AS10,X,10.0,6.4,8.8,32,213
Nissan,Nissan COMPACT 5.0L,COMPACT,5.0,8,M5,X,19.4,13.1,17.3,16,404
Ford,Ford PICKUP 3.5L,PICKUP TRUCK - STANDARD,3.5,6,AV,X,15.2,8.6,13.0,22,310
Nissan,Nissan TWO-SEATER 1.5L,TWO-SEATER,1.5,4,AV,Z,9.4,5.8,8.2,34,192
Chevrolet,Chevrolet SUV 2.5L,SUV - STANDARD,2.5,4,AS6,X,12.0,5.1,9.7,29,224
Ford,Ford VAN 1.5L,VAN - PASSENGER,1.5,4,AM7,X,10.1,7.4,9.2,31,215
Porsche,Porsche MID-SIZE 4.0L,MID-SIZE,4.0,8,A6,D,15.0,8.4,12.8,22,331
Ram,Ram VAN 5.0L,VAN - PASSENGER,5.0,8,AS8,X,18.6,9.3,15.5,18,367
Jeep,Jeep PICKUP 1.8L,PICKUP TRUCK - STANDARD,1.8,4,AV,Z,10.7,5.3,8.9,32,210
BMW,BMW PICKUP 3.5L,PICKUP TRUCK - STANDARD,3.5,6,M5,E,20.7,9.6,17.0,17,281
Ford,Ford VAN 4.0L,VAN - CARGO,4.0,8,AS6,E,22.8,13.5,19.7,14,320
Honda,Honda MINICOMPACT 2.5L,MINICOMPACT,2.5,4,A8,X,12.1,5.2,9.8,29,232
